City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
163,Luang Prabang,LA,19.8856,102.1347,73.36,64,0,2.3,clear sky
164,Talnakh,RU,69.4865,88.3972,-15.92,98,55,3.15,broken clouds
165,Hamilton,US,39.1834,-84.5333,52.65,55,20,9.22,few clouds
166,Damavand,IR,35.7178,52.065,37.45,71,12,1.03,few clouds
167,Roma,US,43.2128,-75.4557,34.66,68,0,3.44,clear sky
168,Ahuimanu,US,21.4447,-157.8378,80.31,74,75,20.71,broken clouds
169,Mahebourg,MU,-20.4081,57.7,75.49,73,20,9.22,few clouds
170,Castro,BR,-24.7911,-50.0119,55.31,77,71,1.88,broken clouds
171,Padang,ID,-0.9492,100.3543,84.25,81,100,3.06,overcast clouds
172,Manzanillo,CU,20.3433,-77.1167,73.65,82,37,0.58,scattered clouds
173,Port Elizabeth,ZA,-33.918,25.5701,65.1,81,100,18.41,overcast clouds
174,Leningradskiy,RU,69.3833,178.4167,16.21,80,100,25.1,overcast clouds
175,Agua Verde,MX,22.9,-106.05,73.56,84,1,6.58,clear sky
176,Mayo,US,38.8876,-76.5119,53.98,67,0,6.91,clear sky
177,Zhezkazgan,KZ,47.8043,67.7144,28.38,86,100,15.66,overcast clouds
178,Bardiyah,LY,31.7561,25.0865,64.9,70,0,7.85,clear sky
179,Grants Pass,US,42.439,-123.3284,44.17,93,100,6.91,overcast clouds
180,Kaeo,NZ,-35.1,173.7833,64.13,83,89,1.43,overcast clouds
181,Lerwick,GB,60.1545,-1.1494,50,85,89,10.49,overcast clouds
182,Tambura,SS,5.6,27.4667,68.67,83,100,3.13,overcast clouds
183,Nanortalik,GL,60.1432,-45.2371,29.7,74,66,8.03,broken clouds
184,Tabuk,PH,17.4189,121.4443,84.81,68,9,4.74,clear sky
185,Bima,ID,-8.4667,118.7167,88.54,62,99,2.01,overcast clouds
186,Tharad,IN,24.3961,71.6267,81.55,30,0,2.35,clear sky
187,Kenora,CA,49.8167,-94.4337,38.37,93,100,12.66,light intensity drizzle
188,Esperance,AU,-33.8667,121.9,62.26,66,99,11.39,overcast clouds
189,Mosquera,CO,4.7059,-74.2302,53.69,87,100,2.3,overcast clouds
190,Komsomolskiy,UZ,40.4272,71.7189,39.92,70,75,4.61,broken clouds
191,Am Timan,TD,11.0297,20.2827,73.78,34,12,6.8,few clouds
192,Kloulklubed,PW,7.0419,134.2556,73.9,73,100,17.54,moderate rain
193,Hilo,US,19.7297,-155.09,75.25,90,100,5.75,moderate rain
194,Poum,NC,-20.2333,164.0167,76.87,81,41,25.99,scattered clouds
195,Marrakesh,MA,31.6315,-8.0083,59.07,77,0,2.3,clear sky
196,Nuevitas,CU,21.5453,-77.2644,73.26,88,0,7.72,clear sky
197,Komsomolskoye,RU,55.2567,47.5461,35.78,88,100,13.51,overcast clouds
198,San Pedro,PH,14.35,121.0167,87.03,67,75,3.44,broken clouds
199,Cabo San Lucas,MX,22.8909,-109.9124,73.51,73,1,5.99,clear sky
200,Saint-Philippe,RE,-21.3585,55.7679,76.59,75,21,8.59,light rain
201,Vanimo,PG,-2.6741,141.3028,82.65,83,74,5.21,light rain
202,Erzin,TR,36.9559,36.2,59.16,68,90,6.26,overcast clouds
